gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.4761,0.0000,0.0000,,1.4761,0.0000,518,21,68,54,0,0,0,0,pkg/services/user/userimpl/store.go
1.4729,0.0000,0.0000,,1.4729,0.0000,39,1,6,1,0,0,0,0,pkg/registry/apis/collections/stars.go
1.4656,0.2144,0.2144,,1.8656,0.4000,376,5,26,20,0,2,0,0,pkg/storage/unified/search/builders/dashboard.go
1.4643,0.0000,0.0000,,1.4643,0.0000,190,4,27,3,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v38.go
1.4639,0.0000,0.0000,,1.4639,0.0000,1011,35,241,25,0,0,0,0,apps/dashboard/pkg/migration/frontend_defaults.go
1.4630,0.0000,0.0000,,1.4630,0.0000,186,12,54,19,0,0,0,0,pkg/util/xorm/helpers.go
1.4613,0.0000,0.0000,,1.4613,0.0000,115,3,13,5,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v17.go
1.4595,0.2552,0.2552,,1.9595,0.5000,72,2,14,7,0,1,0,0,pkg/registry/apis/iam/roleeffective/effective.go
1.4591,0.2552,0.2552,,1.9591,0.5000,261,8,53,30,0,4,0,0,pkg/tsdb/cloudwatch/metric_find_query.go
1.4589,0.0000,0.0000,,1.4589,0.0000,121,7,28,13,0,0,0,0,pkg/middleware/middleware.go
1.4577,0.3138,0.3138,,2.1244,0.6667,150,3,15,23,0,2,0,0,pkg/registry/apps/apps.go
1.4468,0.0000,0.0000,,1.4468,0.0000,119,5,15,13,0,0,0,0,pkg/tsdb/tempo/traceql/metrics.go
1.4467,0.0000,0.0000,,1.4467,0.0000,30,1,2,4,0,0,0,0,pkg/aggregator/apiserver/plugin/admission/validation.go
1.4445,0.5806,0.5806,,3.4445,2.0000,87,1,16,35,0,2,0,0,pkg/setting/setting_azure.go
1.4437,0.0000,0.0000,,1.4437,0.0000,166,3,11,6,0,0,0,0,pkg/services/sqlstore/migrations/db_file_storage.go
1.4396,0.0000,0.0000,,1.4396,0.0000,106,4,16,7,0,0,0,0,pkg/registry/apis/iam/common/common.go
1.4326,0.0000,0.0000,,1.4326,0.0000,92,4,12,10,0,0,0,0,pkg/services/authz/rbac/tree.go
1.4317,0.0000,0.0000,,1.4317,0.0000,343,18,70,32,0,0,0,0,pkg/web/tree.go
1.4306,0.1488,0.1488,,1.6806,0.2500,77,4,14,16,0,1,0,0,pkg/codegen/jenny_eachmajor.go
1.4306,0.0000,0.0000,,1.4306,0.0000,42,0,0,16,0,0,0,0,pkg/services/datasources/accesscontrol.go
1.4280,0.0476,0.0476,,1.4994,0.0714,984,42,104,155,0,0,3,0,apps/dashboard/pkg/migration/conversion/v2beta1_to_v2alpha1.go
1.4250,0.4124,0.4124,,2.4250,1.0000,70,1,9,3,2,1,0,0,pkg/services/preference/generate_themes.go
1.4229,0.0000,0.0000,,1.4229,0.0000,141,2,5,6,0,0,0,0,apps/provisioning/pkg/repository/github/client.go
1.4227,0.0000,0.0000,,1.4227,0.0000,37,2,7,4,0,0,0,0,pkg/tsdb/cloudwatch/clients/metrics.go
1.4227,0.0000,0.0000,,1.4227,0.0000,54,2,7,4,0,0,0,0,pkg/services/ngalert/notifier/templates.go
1.4189,0.0000,0.0000,,1.4189,0.0000,128,4,19,5,0,0,0,0,pkg/services/ngalert/schedule/metrics.go
1.4142,0.0728,0.0728,,1.5253,0.1111,546,18,19,144,0,2,0,0,pkg/services/accesscontrol/models.go
1.4122,0.0481,0.0481,,1.4836,0.0714,449,14,38,45,0,1,0,0,pkg/storage/unified/resource/document.go
