score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
21.4978,534,38.50,38.50,0.2247,2,43,vs/workbench/contrib/debug/browser/breakpointWidget.ts
21.4636,835,25.29,25.29,1.0000,1,20,vs/workbench/browser/actions/listCommands.ts
21.2950,335,62.00,62.00,0.6801,2,23,vs/sessions/contrib/terminal/browser/sessionsTerminalContribution.ts
21.1607,527,38.67,38.67,0.5467,5,28,vs/workbench/contrib/chat/common/promptSyntax/computeAutomaticInstructions.ts
20.8404,1169,17.00,17.00,0.4505,4,42,vs/workbench/contrib/mcp/common/mcpServer.ts
20.7819,336,60.00,60.00,0.5123,4,20,vs/platform/userDataSync/common/keybindingsSync.ts
20.6332,739,27.00,27.00,0.5791,4,25,vs/workbench/contrib/notebook/browser/controller/executeActions.ts
20.5570,491,40.50,40.50,0.5541,4,24,vs/workbench/contrib/scm/browser/scmViewService.ts
19.8340,1482,13.08,13.08,0.6218,4,10,vs/base/browser/ui/grid/gridview.ts
19.7865,570,33.00,33.00,0.4939,5,40,vs/workbench/contrib/testing/browser/testResultsView/testResultsOutput.ts
19.5802,1165,15.89,15.89,0.6413,13,22,vs/workbench/services/actions/common/menusExtensionPoint.ts
18.9226,1254,14.11,14.11,0.6510,15,26,vs/platform/list/browser/listService.ts
18.8759,722,25.00,25.00,0.2566,2,36,vs/workbench/contrib/chat/browser/aiCustomization/pluginListWidget.ts
18.8544,837,21.80,21.80,0.5488,6,13,vs/workbench/services/extensions/common/rpcProtocol.ts
18.7218,819,21.60,21.60,0.6346,8,36,vs/workbench/contrib/chat/browser/chatEditing/chatEditingActions.ts
18.6741,411,43.00,43.00,0.6756,10,28,vs/workbench/contrib/mcp/browser/mcpServerWidgets.ts
18.6213,679,26.33,26.33,0.6162,3,33,vs/sessions/contrib/chat/browser/runScriptAction.ts
18.5699,448,40.00,40.00,0.6005,2,30,vs/workbench/browser/parts/editor/sideBySideEditor.ts
18.4779,697,25.00,25.00,0.5682,12,23,vs/workbench/common/views.ts
18.2860,534,31.00,31.00,0.2321,2,96,vs/workbench/browser/web.main.ts
18.1380,1069,15.58,15.58,0.4224,15,39,vs/workbench/contrib/debug/browser/debugCommands.ts
17.8463,831,20.54,20.54,0.7446,14,1,vs/base/common/color.ts
17.8313,635,27.33,27.33,0.6613,3,16,vs/sessions/contrib/sessions/browser/sessionsManagementService.ts
17.5891,658,25.00,25.00,0.5436,4,55,vs/workbench/services/extensions/electron-browser/nativeExtensionService.ts
17.5447,730,22.50,22.50,0.5012,4,53,vs/workbench/contrib/chat/browser/chatSetup/chatSetupContributions.ts
17.3667,438,38.00,38.00,0.4893,8,13,vs/workbench/services/suggest/browser/simpleSuggestWidgetDetails.ts
17.2972,515,31.50,31.50,0.5413,6,44,vs/workbench/contrib/chat/browser/actions/chatContinueInAction.ts
17.2704,690,24.00,24.00,0.2385,2,28,vs/workbench/api/browser/mainThreadSCM.ts
17.1601,592,28.00,28.00,0.5236,3,21,vs/workbench/contrib/chat/browser/chatEditing/chatEditingExplanationWidget.ts
17.1102,925,17.50,17.50,0.7292,15,7,vs/workbench/contrib/testing/common/testTypes.ts
16.9933,725,22.67,22.67,1.0000,4,24,vs/workbench/contrib/files/browser/fileActions.contribution.ts
16.9855,636,25.50,25.50,0.5499,5,27,vs/workbench/contrib/notebook/browser/viewParts/notebookEditorToolbar.ts
16.9667,731,22.25,22.25,0.5121,5,22,vs/workbench/contrib/output/common/outputChannelModel.ts
16.6818,663,24.20,24.20,0.6712,6,17,vs/workbench/contrib/terminal/browser/chatTerminalCommandMirror.ts
16.5667,410,39.00,39.00,0.5933,5,15,vs/platform/utilityProcess/electron-main/utilityProcess.ts
16.5546,502,31.50,31.50,0.4935,6,21,vs/workbench/contrib/chat/common/tools/builtinTools/askQuestionsTool.ts
16.2290,888,17.12,17.12,0.6321,15,12,vs/platform/configuration/common/configurationRegistry.ts
16.1716,1204,12.00,12.00,0.5856,15,58,vs/workbench/contrib/files/browser/fileActions.ts
16.1479,293,53.00,53.00,0.6043,2,28,vs/workbench/contrib/bulkEdit/browser/bulkEditService.ts
16.0810,1152,13.00,13.00,0.4401,4,51,vs/editor/contrib/inlineCompletions/browser/model/inlineCompletionsModel.ts
16.0531,741,21.00,21.00,0.6517,3,17,vs/workbench/contrib/mergeEditor/browser/model/mergeEditorModel.ts
16.0082,415,37.00,37.00,0.4871,6,15,vs/editor/contrib/suggest/browser/suggestWidgetDetails.ts
15.7858,694,21.20,21.20,0.4478,4,49,vs/workbench/contrib/chat/browser/actions/chatContextActions.ts
