score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
1.5094,227,3.50,3.50,0.5403,2,20,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/RepackageMojo.java
1.4975,219,2.50,2.50,1.0000,1,36,module/spring-boot-thymeleaf/src/main/java/org/springframework/boot/thymeleaf/autoconfigure/ThymeleafAutoConfiguration.java
1.4960,271,1.71,1.71,0.5677,3,31,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/management/HeapDumpWebEndpoint.java
1.4900,236,2.50,2.50,1.0000,1,34,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/task/TaskExecutorConfigurations.java
1.4846,183,6.20,6.20,1.0000,1,12,core/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/DefaultBindConstructorProvider.java
1.4822,238,1.36,1.36,0.6694,3,37,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/actuate/web/mappings/DispatcherServletsMappingDescriptionProvider.java
1.4625,170,1.25,1.25,1.0000,1,48,module/spring-boot-cloudfoundry/src/main/java/org/springframework/boot/cloudfoundry/autoconfigure/actuate/endpoint/reactive/CloudFoundryReactiveActuatorAutoConfiguration.java
1.4529,182,2.33,2.33,0.5870,2,33,module/spring-boot-jackson/src/main/java/org/springframework/boot/jackson/JacksonComponentModule.java
1.4528,215,4.33,4.33,0.5154,2,12,configuration-metadata/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/fieldvalues/javac/JavaCompilerFieldValuesParser.java
1.4485,242,1.75,1.75,1.0000,1,39,module/spring-boot-web-server/src/testFixtures/java/org/springframework/boot/web/server/autoconfigure/servlet/AbstractServletWebServerAutoConfigurationTests.java
1.4470,172,1.00,1.00,1.0000,1,49,module/spring-boot-cloudfoundry/src/main/java/org/springframework/boot/cloudfoundry/autoconfigure/actuate/endpoint/servlet/CloudFoundryActuatorAutoConfiguration.java
1.4417,248,2.67,2.67,0.7787,2,25,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/ssl/FileWatcher.java
1.4376,187,2.88,2.88,1.0000,1,34,module/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/endpoint/condition/OnAvailableEndpointCondition.java
1.4348,183,2.33,2.33,0.5687,2,32,module/spring-boot-jackson2/src/main/java/org/springframework/boot/jackson2/JsonComponentModule.java
1.4339,223,1.75,1.75,0.6254,2,34,core/spring-boot/src/main/java/org/springframework/boot/support/EnvironmentPostProcessorApplicationListener.java
1.4334,138,7.00,7.00,0.5304,2,10,core/spring-boot/src/main/java/org/springframework/boot/context/config/InvalidConfigDataPropertyException.java
1.4301,319,1.36,1.36,0.5197,2,31,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/scheduling/ScheduledTasksEndpoint.java
1.4213,181,2.75,2.75,0.6059,2,29,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/ProcessTestAotMojo.java
1.4209,276,2.36,2.36,0.6260,5,17,core/spring-boot/src/main/java/org/springframework/boot/util/Instantiator.java
1.4189,205,1.56,1.56,1.0000,1,42,module/spring-boot-jersey/src/main/java/org/springframework/boot/jersey/autoconfigure/actuate/web/JerseyWebEndpointManagementContextConfiguration.java
1.4167,200,1.83,1.83,1.0000,1,40,module/spring-boot-jersey/src/main/java/org/springframework/boot/jersey/autoconfigure/JerseyAutoConfiguration.java
1.4150,170,7.00,7.00,1.0000,1,7,core/spring-boot/src/main/java/org/springframework/boot/context/config/FileHint.java
1.4080,161,3.00,3.00,1.0000,1,35,module/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/endpoint/web/WebEndpointAutoConfiguration.java
1.4027,151,4.33,4.33,0.5065,2,21,module/spring-boot-jdbc/src/main/java/org/springframework/boot/jdbc/HikariCheckpointRestoreLifecycle.java
1.3987,178,3.90,3.90,0.5820,2,20,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/autoconfigure/error/BasicErrorController.java
1.3983,146,6.67,6.67,1.0000,1,15,module/spring-boot-jackson2/src/main/java/org/springframework/boot/jackson2/JsonObjectDeserializer.java
1.3948,212,2.89,2.89,0.4707,3,20,build-plugin/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/StartMojo.java
1.3920,235,3.62,3.62,0.7395,2,15,module/spring-boot-http-converter/src/main/java/org/springframework/boot/http/converter/autoconfigure/HttpMessageConverters.java
1.3900,133,5.00,5.00,1.0000,1,27,module/spring-boot-groovy-templates/src/main/java/org/springframework/boot/groovy/template/autoconfigure/GroovyTemplateAutoConfiguration.java
1.3785,229,2.31,2.31,1.0000,1,32,module/spring-boot-devtools/src/main/java/org/springframework/boot/devtools/restart/ClassLoaderFilesResourcePatternResolver.java
1.3675,197,2.50,2.50,1.0000,1,33,module/spring-boot-amqp/src/main/java/org/springframework/boot/amqp/autoconfigure/RabbitStreamConfiguration.java
1.3666,219,2.64,2.64,0.6432,2,24,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/error/DefaultErrorAttributes.java
1.3649,221,3.36,3.36,0.5139,2,16,configuration-metadata/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/metadata/JsonMarshaller.java
